rank,account_name,fit,urgency,total,fit_reason,urgency_reason,urgency_source,trigger_summary,best_fit_trial_title,best_fit_trial_status,best_fit_trial_phase,best_fit_trial_url,best_urgency_trial_title,best_urgency_trial_status,best_urgency_trial_phase,best_urgency_trial_url,sec_matched_total,patent_matched_total,target_roles
11,Bioray Laboratories,5.0,3.0,20.1,CAR-T trial,RECRUITING in high urgency phase (PHASE1),clinicaltrials,trial_candidate: Universal CAR-T Cell Therapy for MM | trial_candidate: The Safety and Efficacy of BRL-201 in the Treatment of r/r B Lymphocyte Non-Hodgkin Lymphoma | trial_candidate: Universal CAR-T Cell Therapy for NHL,Universal CAR-T Cell Therapy for MM,RECRUITING,NA,https://clinicaltrials.gov/study/NCT07248176,The Safety and Efficacy of BRL-201 in the Treatment of r/r B Lymphocyte Non-Hodgkin Lymphoma,RECRUITING,PHASE1,https://clinicaltrials.gov/study/NCT05741359,0,0,"[""Clinical Scientist / Early Clinical Development Lead (Phase 1)"", ""Director/VP, Translational Medicine (Oncology/Immunology)"", ""Head/Director, Clinical Biomarkers / Translational Biomarkers"", ""Head/Director, Immune Monitoring / Flow Cytometry / Cytometry Core"", ""Director, Bioassay / Potency / Analytical Development""]"
12,Bristol-Myers Squibb,5.0,3.0,20.1,CAR-T trial,"NOT_YET_RECRUITING in high urgency phase (PHASE1,PHASE2)",clinicaltrials,trial_collaborator: CC-97540 in Patients With Antineutrophil Cytoplasmic Antibody-associated Vasculitis | trial_collaborator: A Study to Learn About the Effects of the Combination of Elranatamab (PF-06863135) and Iberdomide in Patients  | trial_collaborator: Nivolumab in Multiple Myeloma Patients After Idecabtagene Vicleucel,"Nivolumab for Relapsed, Refractory, or Detectable Disease Post Chimeric Antigen Receptor T-cell Treatment in Patients With Hematologic Malignancies",ACTIVE_NOT_RECRUITING,PHASE2,https://clinicaltrials.gov/study/NCT04205409,CC-97540 in Patients With Antineutrophil Cytoplasmic Antibody-associated Vasculitis,NOT_YET_RECRUITING,"PHASE1,PHASE2",https://clinicaltrials.gov/study/NCT07388277,0,0,"[""Clinical Scientist / Early Clinical Development Lead (Phase 1)"", ""Director/VP, Translational Medicine (Oncology/Immunology)"", ""Head/Director, Clinical Biomarkers / Translational Biomarkers"", ""Head/Director, Immune Monitoring / Flow Cytometry / Cytometry Core"", ""Director, Bioassay / Potency / Analytical Development""]"
13,"Guangzhou Bio-gene Technology Co., Ltd",5.0,3.0,20.1,CAR-T trial,"RECRUITING in high urgency phase (PHASE1,PHASE2)",clinicaltrials,trial_collaborator: Clinical Study of CLL-1 CAR-T in the Treatment of Children With R/R AML | trial_candidate: BCMA/GPRC5D CAR-T Therapy for Multiple Myeloma | trial_candidate: BAFFR CAR-T Treatment for Relapsed/Refractory B-cell Tumors,Clinical Study of CLL-1 CAR-T in the Treatment of Children With R/R AML,NOT_YET_RECRUITING,EARLY_PHASE1,https://clinicaltrials.gov/study/NCT07338357,Phase I Clinical Study: BG1805 Injection in the Treatment of Relapsed or Refractory Acute Myeloid Leukemia,RECRUITING,"PHASE1,PHASE2",https://clinicaltrials.gov/study/NCT06118788,0,0,"[""Clinical Scientist / Early Clinical Development Lead (Phase 1)"", ""Director/VP, Translational Medicine (Oncology/Immunology)"", ""Head/Director, Clinical Biomarkers / Translational Biomarkers"", ""Head/Director, Immune Monitoring / Flow Cytometry / Cytometry Core"", ""Director, Bioassay / Potency / Analytical Development""]"
14,"Nanjing IASO Biotechnology Co., Ltd.",5.0,3.0,20.1,CAR-T trial,RECRUITING in high urgency phase (PHASE1),clinicaltrials,trial_collaborator: IASO208 Injection in the Treatment of Relapsed/Refractory B-cell Malignancies | trial_candidate: UB-VV400 in Combination With Rapamycin in Relapsed or Refractory B-cell Malignancies | trial_candidate: A Phase III Study of Eque-cel in Subjects With Len-refractory RRMM (FUMANBA-03),Study of Eque-cel CAR-T Therapy in Newly Diagnosed Severe AL Amyloidosis,NOT_YET_RECRUITING,PHASE2,https://clinicaltrials.gov/study/NCT07055724,IASO208 Injection in the Treatment of Relapsed/Refractory B-cell Malignancies,RECRUITING,PHASE1,https://clinicaltrials.gov/study/NCT07309900,0,0,"[""Clinical Scientist / Early Clinical Development Lead (Phase 1)"", ""Director/VP, Translational Medicine (Oncology/Immunology)"", ""Head/Director, Clinical Biomarkers / Translational Biomarkers"", ""Head/Director, Immune Monitoring / Flow Cytometry / Cytometry Core"", ""Director, Bioassay / Potency / Analytical Development""]"
15,Novartis,5.0,3.0,20.1,CAR-T trial,RECRUITING in high urgency phase (PHASE1),clinicaltrials,trial_collaborator: Asciminib Maintenance Therapy Following alloHCT or CAR T to Prevent Relapse in Adults With Ph+ALL | trial_collaborator: Up-front CART-BCMA With or Without huCART19 in High-risk Multiple Myeloma | trial_collaborator: French Register Of Patients With Hemopathy Eligible For CAR-T Cell Treatment (DESCAR-T),Asciminib Maintenance Therapy Following alloHCT or CAR T to Prevent Relapse in Adults With Ph+ALL,RECRUITING,PHASE1,https://clinicaltrials.gov/study/NCT07250087,Asciminib Maintenance Therapy Following alloHCT or CAR T to Prevent Relapse in Adults With Ph+ALL,RECRUITING,PHASE1,https://clinicaltrials.gov/study/NCT07250087,0,0,"[""Clinical Scientist / Early Clinical Development Lead (Phase 1)"", ""Director/VP, Translational Medicine (Oncology/Immunology)"", ""Head/Director, Clinical Biomarkers / Translational Biomarkers"", ""Head/Director, Immune Monitoring / Flow Cytometry / Cytometry Core"", ""Director, Bioassay / Potency / Analytical Development""]"
16,Bellicum Pharmaceuticals,5.0,3.0,20.1,CAR-T trial,"RECRUITING in high urgency phase (PHASE1,PHASE2)",clinicaltrials,trial_collaborator: Autologous CAR T-Cells Targeting the GD2 Antigen for Lung Cancer | trial_collaborator: Autologous CAR-T Cells Targeting CSPG4 in Relapsed/Refractory HNSCC | trial_collaborator: Administration of Autologous CAR-T CD19 Antigen With Inducible Safety Switch in Patients With Relapsed/Refract,Autologous CAR T-Cells Targeting the GD2 Antigen for Lung Cancer,RECRUITING,EARLY_PHASE1,https://clinicaltrials.gov/study/NCT05620342,Autologous CAR-T Cells Targeting CSPG4 in Relapsed/Refractory HNSCC,RECRUITING,"PHASE1,PHASE2",https://clinicaltrials.gov/study/NCT06096038,0,0,"[""Clinical Scientist / Early Clinical Development Lead (Phase 1)"", ""Director/VP, Translational Medicine (Oncology/Immunology)"", ""Head/Director, Clinical Biomarkers / Translational Biomarkers"", ""Head/Director, Immune Monitoring / Flow Cytometry / Cytometry Core"", ""Director, Bioassay / Potency / Analytical Development""]"
17,"Beijing Immunochina Medical Science & Technology Co., Ltd.",5.0,3.0,20.1,CAR-T trial,NOT_YET_RECRUITING in high urgency phase (PHASE1),clinicaltrials,trial_candidate: Clinical Study of IM96 CAR-T Cell Therapy in Patients With Advanced Adenocarcinoma of Gastric/Esophagogastric  | trial_candidate: Clinical Study Evaluating the Safety and Efficacy of IC19 CAR-T Cell Therapy for Refractory Systemic Lupus Ery | trial_candidate: Clinical Study of ZM001 Injection in the Treatment of Refractory Systemic Lupus Erythematosus,Clinical Study of IM96 CAR-T Cell Therapy in Patients With Advanced Adenocarcinoma of Gastric/Esophagogastric Junction,NOT_YET_RECRUITING,PHASE1,https://clinicaltrials.gov/study/NCT07406984,Clinical Study of IM96 CAR-T Cell Therapy in Patients With Advanced Adenocarcinoma of Gastric/Esophagogastric Junction,NOT_YET_RECRUITING,PHASE1,https://clinicaltrials.gov/study/NCT07406984,0,0,"[""Clinical Scientist / Early Clinical Development Lead (Phase 1)"", ""Director/VP, Translational Medicine (Oncology/Immunology)"", ""Head/Director, Clinical Biomarkers / Translational Biomarkers"", ""Head/Director, Immune Monitoring / Flow Cytometry / Cytometry Core"", ""Director, Bioassay / Potency / Analytical Development""]"
18,"Nanjing Bioheng Biotech Co., Ltd.",5.0,3.0,20.1,CAR-T trial,RECRUITING in high urgency phase (PHASE1),clinicaltrials,trial_candidate: Clinical Study on Targeted CD19/BCMA CAR-T Therapy for Autoimmune Diseases | trial_collaborator: CD19/BCMA-Targeted UCAR-T for Patients With Neurological Autoimmune Diseases | trial_candidate: A Study of Anti-CD19/BCMA Universal CAR-T Cell Therapy RD06-05 in Patients With Autoimmune Diseases.,Clinical Study on Targeted CD19/BCMA CAR-T Therapy for Autoimmune Diseases,RECRUITING,EARLY_PHASE1,https://clinicaltrials.gov/study/NCT06775912,CD7 CAR T Cells (RD13-02) in the Treatment of Relapsed/Refractory Severe Aplastic Anemia,RECRUITING,PHASE1,https://clinicaltrials.gov/study/NCT06622694,0,0,"[""Clinical Scientist / Early Clinical Development Lead (Phase 1)"", ""Director/VP, Translational Medicine (Oncology/Immunology)"", ""Head/Director, Clinical Biomarkers / Translational Biomarkers"", ""Head/Director, Immune Monitoring / Flow Cytometry / Cytometry Core"", ""Director, Bioassay / Potency / Analytical Development""]"
19,Novartis Pharmaceuticals,5.0,3.0,20.1,CAR-T trial,"RECRUITING in high urgency phase (PHASE1,PHASE2)",clinicaltrials,"trial_candidate: Study to Assess Safety, Efficacy, and Cellular Kinetics of YTB323 in Generalized Myasthenia Gravis | trial_candidate: Phase 2 Study of Rapcabtagene Autoleucel in Myositis | trial_collaborator: A Second Infusion (Early Reinfusion) of Tisagenlecleucel in Children and Young Adults With B-Cell Acute Lympho",CAR-T Long Term Follow Up (LTFU) Study,RECRUITING,PHASE3,https://clinicaltrials.gov/study/NCT02445222,"Study to Assess Safety, Efficacy, and Cellular Kinetics of YTB323 in Generalized Myasthenia Gravis",RECRUITING,"PHASE1,PHASE2",https://clinicaltrials.gov/study/NCT06704269,0,0,"[""Clinical Scientist / Early Clinical Development Lead (Phase 1)"", ""Director/VP, Translational Medicine (Oncology/Immunology)"", ""Head/Director, Clinical Biomarkers / Translational Biomarkers"", ""Head/Director, Immune Monitoring / Flow Cytometry / Cytometry Core"", ""Director, Bioassay / Potency / Analytical Development""]"
20,Genmab,5.0,3.0,20.1,CAR-T trial,ACTIVE_NOT_RECRUITING in high urgency phase (PHASE2),clinicaltrials,trial_candidate: Subcutaneous Epcoritamab With or Without Lenalidomide as First Line Therapy for Diffuse Large B-Cell Lymphoma | trial_candidate: Safety and Efficacy Study of Epcoritamab in Subjects With Relapsed/Refractory Chronic Lymphocytic Leukemia and | trial_candidate: GEN1047 for Solid Tumors - First in Human (FIH) Trial,Epcoritamab-CAR T Cells for Large B-cell Lymphomas,RECRUITING,PHASE2,https://clinicaltrials.gov/study/NCT06458439,Subcutaneous Epcoritamab With or Without Lenalidomide as First Line Therapy for Diffuse Large B-Cell Lymphoma,ACTIVE_NOT_RECRUITING,PHASE2,https://clinicaltrials.gov/study/NCT05660967,0,0,"[""Clinical Scientist / Early Clinical Development Lead (Phase 1)"", ""Director/VP, Translational Medicine (Oncology/Immunology)"", ""Head/Director, Clinical Biomarkers / Translational Biomarkers"", ""Head/Director, Immune Monitoring / Flow Cytometry / Cytometry Core"", ""Director, Bioassay / Potency / Analytical Development""]"
21,Kyverna Therapeutics,5.0,3.0,20.1,CAR-T trial,"RECRUITING in high urgency phase (PHASE2,PHASE3)",clinicaltrials,"trial_candidate: A Long-Term Follow-Up Study for Participants Previously Treated With KYV-101 | trial_candidate: KYSA-6: A Study of Anti-CD19 Chimeric Antigen Receptor T-Cell Therapy, in Patients With Generalized Myasthenia | trial_collaborator: A Study of KYV-101, a CD19 CAR T Cell Therapy, in Participants With Treatment Refractory Progressive Multiple ","KYSA-6: A Study of Anti-CD19 Chimeric Antigen Receptor T-Cell Therapy, in Patients With Generalized Myasthenia Gravis",RECRUITING,"PHASE2,PHASE3",https://clinicaltrials.gov/study/NCT06193889,"KYSA-6: A Study of Anti-CD19 Chimeric Antigen Receptor T-Cell Therapy, in Patients With Generalized Myasthenia Gravis",RECRUITING,"PHASE2,PHASE3",https://clinicaltrials.gov/study/NCT06193889,0,0,"[""Clinical Scientist / Early Clinical Development Lead (Phase 1)"", ""Director/VP, Translational Medicine (Oncology/Immunology)"", ""Head/Director, Clinical Biomarkers / Translational Biomarkers"", ""Head/Director, Immune Monitoring / Flow Cytometry / Cytometry Core"", ""Director, Bioassay / Potency / Analytical Development""]"
22,Juventas Cell Therapy Ltd.,5.0,3.0,20.1,CAR-T trial,RECRUITING in high urgency phase (PHASE1),clinicaltrials,trial_candidate: A Study of CNCT19 in the Treatment of Relapsed or Refractory Neurological Autoimmune Diseases | trial_collaborator: Clinical Trial of Autologous CD19 CAR-T Cells (CNCT19) Therapy for Advanced Hepatocellular Carcinoma | trial_candidate: A Study of HY001N in the Treatment of Relapsed or Refractory Neurological Autoimmune Diseases,Clinical Trial of Autologous CD19 CAR-T Cells (CNCT19) Therapy for Advanced Hepatocellular Carcinoma,RECRUITING,PHASE1,https://clinicaltrials.gov/study/NCT06676982,Clinical Trial of Autologous CD19 CAR-T Cells (CNCT19) Therapy for Advanced Hepatocellular Carcinoma,RECRUITING,PHASE1,https://clinicaltrials.gov/study/NCT06676982,0,0,"[""Clinical Scientist / Early Clinical Development Lead (Phase 1)"", ""Director/VP, Translational Medicine (Oncology/Immunology)"", ""Head/Director, Clinical Biomarkers / Translational Biomarkers"", ""Head/Director, Immune Monitoring / Flow Cytometry / Cytometry Core"", ""Director, Bioassay / Potency / Analytical Development""]"
23,Fate Therapeutics,5.0,3.0,20.1,CAR-T trial,RECRUITING in high urgency phase (PHASE1),clinicaltrials,"trial_candidate: A Phase 1 Study of FT819 in B-cell Mediated Autoimmune Disease | trial_candidate: FT836 With or Without Chemotherapy and/or Monoclonal Antibodies, in Participants With Advanced Solid Tumors | trial_candidate: FT819 in Subjects With B-cell Malignancies","FT825/ONO-8250, an Off-the-Shelf, HER2 CAR-T, With or Without Monoclonal Antibodies in Advanced Solid Tumors",RECRUITING,PHASE1,https://clinicaltrials.gov/study/NCT06241456,A Phase 1 Study of FT819 in B-cell Mediated Autoimmune Disease,RECRUITING,PHASE1,https://clinicaltrials.gov/study/NCT06308978,0,0,"[""Clinical Scientist / Early Clinical Development Lead (Phase 1)"", ""Director/VP, Translational Medicine (Oncology/Immunology)"", ""Head/Director, Clinical Biomarkers / Translational Biomarkers"", ""Head/Director, Immune Monitoring / Flow Cytometry / Cytometry Core"", ""Director, Bioassay / Potency / Analytical Development""]"
24,Carbiogene Therapeutics Co. Ltd.,5.0,3.0,20.1,CAR-T trial,NOT_YET_RECRUITING in high urgency phase (PHASE1),clinicaltrials,trial_collaborator: Clinical Study of CBG131 CAR-T Cell Injection for the Treatment of CLDN18.2-Positive Advanced Gastric and Panc | trial_candidate: Phase I Clinical Study of CBG002 CAR-T Cell in Treatment of Relapsed/refractory Multiple Myeloma | trial_collaborator: Clinical Trial of Autologous GPC3 CAR-T Cells (CBG166) Therapy for Advanced Hepatocellular Carcinoma,Clinical Study of CBG131 CAR-T Cell Injection for the Treatment of CLDN18.2-Positive Advanced Gastric and Pancreatic Cancer,NOT_YET_RECRUITING,EARLY_PHASE1,https://clinicaltrials.gov/study/NCT07394205,Phase I Clinical Study of CBG002 CAR-T Cell in Treatment of Relapsed/refractory Multiple Myeloma,NOT_YET_RECRUITING,PHASE1,https://clinicaltrials.gov/study/NCT06705725,0,0,"[""Clinical Scientist / Early Clinical Development Lead (Phase 1)"", ""Director/VP, Translational Medicine (Oncology/Immunology)"", ""Head/Director, Clinical Biomarkers / Translational Biomarkers"", ""Head/Director, Immune Monitoring / Flow Cytometry / Cytometry Core"", ""Director, Bioassay / Potency / Analytical Development""]"
